S.No.,Country or dependency,Population,Population density /km,Population density /sqmi,Area km,Area sqmi,Source and date
1,Macau,686607,20870,54052,33,13,2021
2,Monaco,36686,18343,47508,2,1,2021
3,Singapore,5453600,7617,19727,716,276,2021
4,Hong Kong,7494578,6789,17582,1104,426,2021
5,Gibraltar (BOT),32669,4804,12443,7,3,2021
6,Bahrain,1463265,1864,4828,785,303,2020
7,Maldives,521457,1738,4502,300,116,2021
8,Malta,526748,1667,4317,316,122,2021
9,Sint Maarten (Netherlands),44042,1295,3355,34,13,01-Jan-19
10,Bermuda (BOT),64185,1211,3137,53,20,2021
11,Bangladesh,169356251,1141,2955,148460,57320,2021
12,Guernsey (Crown Dependency),63065,1001,2593,63,24,31-Mar-20
13,Jersey (Crown Dependency),109618,945,2448,116,45,31-Dec-19
14,Vatican City,511,1043,2701,0,0,01-Feb-19
15,Palestine,5133392,853,2209,6020,2324,2021
16,Mayotte (France),316014,845,2188,374,144,05-Sep-17
17,Barbados,281200,654,1694,430,166,2021
18,Lebanon,5592631,535,1386,10452,4036,2021
19,Saint Martin (France),31948,592,1532,54,21,01-Jan-17
20,Taiwan,23859912,659,1707,36193,13974,31-Jan-20
21,Mauritius,1298915,660,1709,1969,760,2021
22,Aruba (Netherlands),106537,592,1533,180,69,2021
23,San Marino,33745,553,1433,61,24,2021
24,South Korea,51830139,518,1340,100148,38667,2021
25,Nauru,12511,596,1543,21,8,2021
26,Rwanda,13461888,511,1324,26338,10169,2021
27,Netherlands,17501696,520,1346,33670,13000,2021
28,Tuvalu,11204,431,1116,26,10,2021
29,Israel,8900059,403,1044,22072,8522,2022
30,India,1407563842,428,1109,3287263,1269212,2021
31,Burundi,12551213,451,1168,27834,10747,2021
32,Haiti,11447569,413,1068,27750,10714,2021
33,Saint Barthélemy (France),10861,434,1125,25,10,01-Jan-17
34,Belgium,11611419,380,985,30528,11787,2021
35,Comoros,821625,368,952,2235,863,2021
36,Curaçao (Netherlands),190338,429,1110,444,171,2021
37,Philippines,113880328,380,983,300000,115830,2021
38,Réunion (France),966129,384,996,2513,970,2021
39,Puerto Rico (US),3256028,367,951,8870,3425,2021
40,Saint Lucia,179651,333,863,539,208,2021
41,Japan,124612530,330,854,377930,145919,2021
42,Martinique (France),368796,327,847,1128,436,2021
43,Grenada,124610,362,938,344,133,2021
44,Sri Lanka,21773441,332,860,65610,25332,2021
45,Marshall Islands,42050,232,602,181,70,2021
46,El Salvador,6314167,300,777,21041,8124,2021
47,Guam (US),170534,311,805,549,212,2021
48,U.S. Virgin Islands (US),100091,288,747,347,134,2021
49,Vietnam,97468029,295,763,330957,127782,2021
50,Saint Vincent and the Grenadines,104332,268,695,389,150,2021
51,American Samoa (US),45035,226,586,199,77,2021
52,United Kingdom,67281039,276,715,243610,94058,2021
53,Trinidad and Tobago,1525663,297,770,5130,1981,2021
54,Jamaica,2827695,257,666,10991,4244,2021
