country,cancerRatesByCountry_IncidenceCases2022,cancerRatesByCountry_IncidenceCrude2022,cancerRatesByCountry_IncidenceASR2022,cancerRatesByCountry_MortalityCases2022,cancerRatesByCountry_MortalityCrude2022,cancerRatesByCountry_MortalityASR2022
India,1413316,100.5,98.5,916827,64.4,65.2
China,4824703,341.8,201.6,2574176,96.5,182.3
United States,2380189,710.9,367,605761,82.3,180.9
Indonesia,408661,146.4,136.9,242988,82.5,87.1
Pakistan,185748,80.9,105.6,118631,69.8,51.7
Nigeria,127763,59,113.6,79542,74.6,36.7
Brazil,627193,291.2,214.4,278835,91.3,129.5
Bangladesh,167256,99.6,105.6,116598,74.7,69.5
Russia,635560,435.9,248.1,311729,110.5,213.8
Ethiopia,80334,66.5,104.5,54698,74.5,45.3
Mexico,207154,157.5,140.9,96210,63.5,73.1
Japan,1005157,800.4,267.1,426278,78.6,339.4
Philippines,188976,168,185.4,113369,112.9,100.8
Egypt,150578,141.9,166.1,95275,107.7,89.8
DR Congo,52612,55.2,103,37575,76.2,39.5
Vietnam,180480,182.4,150.8,120184,99,121.5
Iran,137198,159.5,149,87247,96.5,101.4
Turkey,240013,280.5,225.9,129672,116.1,151.6
Germany,605805,722.2,274.2,253170,99.7,301.8
Thailand,183541,261.9,154.4,118829,93.4,169.6
Tanzania,44931,71,140.1,29743,97.1,47
United Kingdom,454954,664.2,307.8,181807,98.3,265.4
France,483568,737.3,339,190612,106.7,290.6
South Africa,111321,183.2,203.4,64547,122.5,106.2
Italy,436242,723.9,284.5,193706,94.2,321.4
Kenya,44726,79.6,149.1,29317,104,52.2
Myanmar,77603,140.5,135.5,54841,97.1,99.3
Colombia,117620,228.3,177.6,56719,81.4,110.1
Uganda,35968,74.3,154.4,24629,113.9,50.9
Sudan,28586,62.2,95.6,18504,64.4,40.2
Spain,278729,596.6,274.6,115590,88.8,247.4
Iraq,37382,88.7,136.6,21536,84.4,51.1
Algeria,64713,142.7,141.2,35778,77.7,78.9
Argentina,133420,290,215.8,70251,102.7,152.7
Afghanistan,24275,59.6,106.2,16923,78.7,41.5
Poland,208900,553.5,262.8,119992,133.1,318
Canada,292098,760.9,345.9,100465,96.4,261.7
Morocco,63609,168.4,149.8,36947,85.9,97.8
Ukraine,155239,359.4,199.9,84153,101.1,194.8
Angola,14359,41,76.8,9492,53.9,27.1
Saudi Arabia,28113,78.4,87.1,13399,46.2,37.4
Uzbekistan,35900,104.4,112.7,22071,71.5,64.2
Yemen,16525,53,83.1,11854,63.7,38.1
Mozambique,26578,80.3,128.8,19020,96.3,57.5
Ghana,27385,84.5,120.4,17944,82.6,55.4
Peru,72827,216.2,173.8,35934,82.4,106.7
Malaysia,51650,155.7,142.1,31633,86.3,95.3
Nepal,22008,72.8,81.6,14704,55.3,48.7
Madagascar,21297,73,117.4,14270,83.6,48.9
Ivory Coast,21352,77,137,14143,93.6,51
Venezuela,62947,215.1,184.8,31737,91.3,108.4
Cameroon,19564,70.1,126,12798,87.3,45.9
Niger,11593,44.5,83.7,8806,66.1,33.8
Australia,212332,814.5,462.5,51884,84.6,199
North Korea,61533,236.8,166.1,42789,113.9,164.6
Syria,21926,113.2,138.6,13848,91,71.5
Mali,15151,70.6,139.9,10678,102.4,49.7
Burkina Faso,12250,55.4,105.8,8970,80.9,40.6
Sri Lanka,33243,154.1,106.9,19145,59,88.7
Malawi,19846,98.3,159.5,13979,117.9,69.3
Zambia,15296,78.6,159.5,9770,109.2,50.2
Kazakhstan,36225,188.6,162.3,20686,92.1,107.7
Chile,59876,311,188.7,31440,90.1,163.3
Romania,104661,549.9,276.5,56216,132.5,295.4
Chad,11276,64.8,131.3,8022,95.7,46.1
Somalia,10681,63.4,121,8038,95.5,47.7
Ecuador,30888,170.5,152.7,16158,76,89.2
